Item,Description,Phase,Amazon Link,Cost,
Battery-Ready ESP32,"E.g., Adafruit HUZZAH32 or DFRobot FireBeetle (with JST connector)",Week 1: Prototyping,https://www.amazon.com/TKOWTB-FireBeetle-Development-Bluetooth-Advanced/dp/B0GTMDMK58?crid=XGFNWSX1V0L3&dib=eyJ2IjoiMSJ9.8pD_RSUwo_i2wcZ_VQSXWbeOvIfEbOG8dRquYJDV3XFoJgqjL35_ca9UoczqS34yIBgLgElMrbO6KO8Wt5QmUZGimptR5To5Mkilp65LoWg0FsGaJZlT_3jPqVbY4ia9UO3UyTjiFA4BXitzN3M1QBwvRjnLWEWaUCyfzYphe-8s0Fr20oXybyv8aTqTQmzmscI9JBCpn8Zgl1omF4SONot_Zq_5s9AYR7FJdh9vpSU.kgdLULJMgRgpf8WkzMPMAJExsXoDl5d7DCUeKPy1KkM&dib_tag=se&keywords=DFRobot+FireBeetle+ESP32&qid=1784853607&sprefix=dfrobot+firebeetle+esp32%2Caps%2C343&sr=8-1,$21.00,
3.7V LiPo Battery,1200mAh - 2200mAh with 2-pin JST connector,Week 1: Prototyping,https://www.amazon.com/JLJLUP-Rechargeable-Integrated-Protection-Development/dp/B0FH7H4Z7W?crid=1M1UU0NWUJ6B3&dib=eyJ2IjoiMSJ9.zlnhjSnnkqPbEFFyzYhSADIv0ajf77nv-b-JdMGC1SBDW0zHuK7UjErsigsy7BQVZGpn6R0Vzo0rFJsqwkZ4uhgofUIVqPSR-KkTFtS89ue4Gfj1b8iCiNhCZA5Qfsx4hFJ4DlU7Jx5smGuzt5w7OekYj_igNNboQRRWT7Auqqq72zTvXF0NAUQBl8PKecgr7KRkC9HlAAjK2WrEoc4m6kNhyyuLKTzv3h12AFQTTZnGkiRIrGfrsukWj7H4umjTq8DFVyt2lcgkJpdMmq4b5AtpkoUr2DZgdZxvcI4mMYY.XFHBY98qCi8kcS9jNFyAHMBo7_q2eZPkXnK4Mehut5Q&dib_tag=se&keywords=3.7v%2Blipo%2Bbattery&qid=1784853863&sprefix=3.7v%2B%2Caps%2C314&sr=8-14&th=1,$10.00,
Mechanical Switches (x9),"Cherry MX, Gateron, etc.",Week 1: Prototyping,https://www.amazon.com/Original-Cherry-Switches-Mechanical-Keyboard/dp/B09J3FWGVQ?crid=375ZDUSTNIFAQ&dib=eyJ2IjoiMSJ9.HLhbmHAyKW6YVscq8lJpYKxmY2rIKXQfDrBWiUae9QbddfgKl4GoPdIKFpOsVDIXIGQx4V62dpr0FetX0_Xod_T3x8RUQKP2bA4oEA78T8NH3uXE2NWoy81EnasFrVmTkWSHWriaHtUjMc922CY0yKZ0MQ0hedJ4_J2Ym4KQoGIPJWGQuFjvGGZSQbaUL0eyz7aMGJoda5UEz0VeCb_h5ZldH5_9Fxp6uHwZ758X5-c.aXwjjufo4Y09FiIrn3Mm88YrCK42PpKxUOw8U5JP-4o&dib_tag=se&keywords=plate%2Bmount%2Bkeyboard%2Bswitches&qid=1784854316&sprefix=plate%2Bmount%2Bkey%2Caps%2C290&sr=8-3&th=1,$13.00,
Keycaps (x9),For the mechanical switches,Week 1: Prototyping,https://www.amazon.com/Profile-Keycaps-Mechanical-Keyboard-Installation/dp/B0CNZK2BZS?crid=2J1V6NS0E2ANP&dib=eyJ2IjoiMSJ9.1MaHYJZreTjQ1glhQ7rnbjx4h1d3lVe7D6WICv1j3OvuJ3O1gTyoYqTHqlQFI_mKyQc_8Zg1TtfL7FB9gffZ_wP1w1-jINHZf0QHIZkc4HzTELj0B1y6Jue2UBrPtPySFRy_Ogpqb9eB4FFHt9NfJ8_h23sT9irORfDBslEmdy0_CjIbDeUI7gOUedhmRfQnKeKbFB1QDhNTdbSp8SLpKtaR-DKG-vLb0YXnynHuVcE.c841A9PNa6gBSdZd-4OmnE9-7f0xIfOYN1H2EYpqqFY&dib_tag=se&keywords=keycaps+9+pack&qid=1784854562&sprefix=keycaps+9+pac%2Caps%2C273&sr=8-3,$7.00,
Rotary Encoder (EC11),With push-button functionality,Week 1: Prototyping,https://www.amazon.com/AIMPGSTL-Rotary-Encoder-Arduino-Raspberry/dp/B0FHDG9BKF?crid=2ZUOS1TKW7A5P&dib=eyJ2IjoiMSJ9.S6L5GdMsx0dOZZ_QiT0xeL-Id4OodlmvizDF-YgWp6a3oNVy8HjB6p6AcPCBH1iaK2UndOfR3z7pb9PGVhGdgWdC-ZkbKON_6q52mGEwcIWE4vC8aP8OdeAUQKdHrXHzqBwMAeV6Sxfu6hnGt1DaPk3n0B-NQ_Gf_FSgiWVZ7o-sx48--iRy9KlhDKda0bmlAXUBOqlH5vECq3fQmH5898yYlztOz1quzKod30MPsv4.IlnWp7WtGUi_csGeKBeHDoyoLOCuzW67Gx67lywb3iw&dib_tag=se&keywords=ec11+rotary+encoder+1+pack&qid=1784854671&sprefix=ec11+rotary+encoder+1+pack%2Caps%2C263&sr=8-3,$7.00,
OLED Screen,"0.96"" SSD1306 (I2C) with female headers",Week 1: Prototyping,https://www.amazon.com/HiLetgo-Serial-128X64-Display-Color/dp/B06XRBTBTB?crid=2WPU6A94JH7XT&dib=eyJ2IjoiMSJ9.91jg84XHqPTjOUREiGbQk3srcyqSDRBonBr6e2873ufGjHj071QN20LucGBJIEps._okfT8GnPl2herBciIaHDLdb1tvH3iMFC90A2xaak3o&dib_tag=se&keywords=0.96%22%2BSSD1306%2B(I2C)%2Bwith%2Bfemale%2Bheaders&qid=1784947901&sprefix=0.96%2Bssd1306%2Bi2c%2Bwith%2Bfemale%2Bheaders%2Caps%2C802&sr=8-2&th=1,$7.00,
WS2812B RGB LEDs,NeoPixel strip or individual SMDs,Week 1: Prototyping,https://www.amazon.com/SEZO-Individually-Addressable-Programmable-Non-Waterproof/dp/B097BWJGYK?crid=2CB0W4L3LHPOB&dib=eyJ2IjoiMSJ9.7ODJHzbo_tOXSL0Bg7TR7vuUM-5co9RecD3SakcjiaDgzLwuj-WTwOcr8shEnFphPHcnw8PqWuRld1c0GsJBE0qCWz_YSIXEyRjW_Tr3G5-DVOh9P9pJDDD9I9eNFMQdyr4FVKeT3ZwgYOSBHDGJJTu91kI-wNnXxDlV_yXT3CfZ8ySEt5L6HF64un3uieAiTAnfG2HPrGl2gLoL-8gc-0UrLMAbWeJLW1PhZblwtEOxmF7xRPAKMnfFOyP3K8qbVXtuWR6s0bD6GFMTlRdu6mFlBXLiCfaA0yceZ7y7zpo.2FBF9q86kA6AVlRURsfiD_3fW06O8yyVmjbNbwAMeNY&dib_tag=se&keywords=WS2812B%2BRGB%2BLEDs&qid=1784948604&sprefix=ws2812b%2Brgb%2Bleds%2B%2Caps%2C272&sr=8-6&th=1,$14.00,
Breadboard & Jumper Wires,For solderless testing,Week 1: Prototyping,https://www.amazon.com/Electronix-Express-03MB801-Solderless-BreadBoard/dp/B005GYAIES?crid=3FEVZZIA3JB5H&dib=eyJ2IjoiMSJ9._YlS2ULACLS8teD1sqFomEBRJTz5gMlVy5i0b1ieOARX_uWfgUK9JsSP0vV8BJt-Mj8Zr9RSA_cB3rUa8_tlHA.NvFYLryB4UKvm3VRZwsmzL5KJ-TLjATHctAt-CYfsJY&dib_tag=se&keywords=breadboard&qid=1784949016&sprefix=breadboard%252Caps%252C252&sr=8-52&xpid=i_nHASorrmML7,$3.00,
Pinecil V2 Soldering Iron,Smart USB-C soldering iron (or TS101),Week 1: Tools,https://pine64.com/product/pinecil-smart-mini-portable-soldering-iron/,$44.00,<- with shipping
60/40 Lead Resin-Core Solder,0.6mm or 0.8mm,Week 1: Tools,https://www.amazon.com/WYCTIN-Diameter-Electrical-Soldering-Purpose/dp/B071WQ9X5K?crid=22HMNTTLNIFMM&dib=eyJ2IjoiMSJ9.5ttr6EmwheYpk1dVxIlVCYtCKMrfgw3aGLn-tgl2SpJt7MwbX_X_c02rv_qQVk1HUJhotatAMf8uuMhxJ-xkgr31HR3XDlVFoQO-oBpbqRfrHaXDmr9JDSasSYFqLRpMyll8IQpf8h8EwU5QBKPIif0pZkx27csti0WxhdgMF5lXjVZBlIJIRdrwjt7kE-drGT88jlOYE6QPJvFEOz6dmwwzojiypZkK-hQaRHrTj1QScQq3Ajhd8Qqd1ubSTV2uoxuopkPztghpCgsG2Mvo27R-jpzuYLb_Of91mYw3GqY.RUDoC3eH9PggENvzEUCZ3Vr63suffLeYntySd7beDjs&dib_tag=se&keywords=60%2F40%2BLead%2BResin-Core%2BSolder%2B0.6%2Bmm&qid=1784949406&sprefix=60%2F40%2Blead%2Bresin-core%2Bsolder%2B0.6%2Bmm%2Caps%2C239&sr=8-5&th=1,$8.00,
Soldering Iron Stand & Brass Sponge,For holding and cleaning the hot iron,Week 1: Tools,https://www.amazon.com/Weller-WLACCBSH-02-Soldering-Cleaner-Silicone/dp/B08FQBS97L?crid=EBSWNUXLTMHB&dib=eyJ2IjoiMSJ9._Fei5Kesp9vkPV4_AkBaE_IkPuRbBUYhUDKuQYNgYf7M82Pbefae4w2iZSFAQBFjdDWq2-4vUcOtqnEa81Tt4k7LXoyTn8EbMJlL_0X8wqsHemFxR1I8iMvW9f4HLG0KH-QUqndnrvI-Od7IS6_iH_nIIkflU_qbSl8_Zxp2YXUhrzi-_9qTlnl6WsIXle3Z2X9LgRX4ZddFerFryhzVZGjtxmUd7E_ty3_ICdUu0XA73b_zywKX1t5CRPcFIwxDJyd270GA9SmVseohSKA2qFBG3EfNZwviS25wCpKzH5A.69G8Ft9s6IV_u7Ad7UCN_Jb4g3xk5tlQPpR4SLNwpUs&dib_tag=se&keywords=brass+sponge&qid=1784949726&sprefix=brass+sponge%2Caps%2C205&sr=8-1,$9.00,
Solder Sucker,Desoldering pump (e.g. Engineer SS-02),Week 1: Tools,https://www.amazon.com/VOTCT-Desoldering-Removing-Replaceable-Resistan/dp/B0CFTGBV79?crid=241M1ZMF52AHP&dib=eyJ2IjoiMSJ9.6UQHvFBI9wdgrLYva7xq_lC0DDUW1ePEUbFD2p9LnGeRWPjj3wagL1H-e3eSlxU5gtSbhf8oPcCbpZ_kZcg37zKaocPRxCBLKf7eO-VKk_uIFtsFWC1ZI3Oi_o-R862VjpM5GuC3g-pfPs3eJZ7FDuJA5yU3BM3MzYqlCCoyygmNMIZ0kpSq8WlYd_UVaE02.L9yHc1GlV0ceL58QcbVHEsBNxBypBM5jkeHGd8nN7SM&dib_tag=se&keywords=desoldering+pump+with+silicone+top&qid=1784949900&sprefix=desoldering+pump+with+silicone+top%2Caps%2C240&sr=8-6,$10.00,
Precision Tweezers,For holding hot-swap sockets during soldering,Week 1: Tools,https://www.amazon.com/Electronics-Experimental-Jewelry-Making-Non-Magnetic-TOWOT/dp/B09J95YPXF?crid=1ERVC4JJMHWYQ&dib=eyJ2IjoiMSJ9.qB9kxU1IdTzElchj_peqh1nEgb62MtochHbZ9zVLnxrzjhMvcVBd9DW3Mmwt5C_2nJhj8Dfwj3VMI8WdbMxI5UwEXs94VXGfINIoZXFPflCCsX86-5fdY-I5wrkhPViuJZeF1lgEpsfuJc2hMnXjGSszSiA1iUnf-y2n-AkmF5rmGJ7FAq6c0CcOgDlpr8OCaVa3GaRLsJTh-MP5PCHCtLAhIcRi4bOLikqDxMg8zOAHEpV6DNXv-m_GsID4fqmVE4obWG4YlGhRn02uTQ8kKawpyejrkTLYjplc8_irp7E.CpmPZBoxrbBlxwjkOMG5lS9F2kqAqD2PElNU1KRb_sk&dib_tag=se&keywords=precision%2Btweezers%2Bsoldering&qid=1784949983&sprefix=precision%2Btweezers%2Bsolde%2Caps%2C264&sr=8-8&th=1,$7.00,
,,,Total,$160.00,
